# x y vx vy
3.099204760418992066e+00 3.314590690082989788e+00 -6.903129760914021862e-01 -7.235108810790831235e-01
1.079936215030612434e+00 2.492913759371467197e+00 8.294626085338477894e-01 -5.585622445567055561e-01
3.516422167115146546e+00 1.032368257542764400e+00 8.360753371039858495e-01 5.486146468027047751e-01
7.377977799534646053e+00 4.037162058525422204e+00 2.601964736096358255e-01 9.655556923974453198e-01
2.196254548918726623e+00 2.168989019659272710e+00 9.751405833499888764e-01 2.215870995880482308e-01
9.709641181114673003e+00 4.416651046199596031e+00 -5.993450918322895671e-01 -8.004907625304270580e-01
3.934514224577862151e+00 6.090774483337053624e-01 8.357552437148774160e-02 9.965014459226996246e-01
3.366927680852089377e+00 2.674140933972086187e-01 -8.485204688226635206e-01 5.291625591337385526e-01
1.743702160463275419e+00 5.325856864832515747e+00 -9.636006034496867878e-01 2.673459874982219708e-01
1.971145858863956102e+00 7.583534233998255658e+00 7.445886692238279370e-01 -6.675235678711943788e-01
6.995423472600300840e+00 4.666001164471085261e+00 4.368882020755258111e-01 -8.995158135837383329e-01
9.104283042349900157e+00 1.405905692265496665e+00 -6.116800535746028666e-01 7.911052471441273326e-01
6.890009701807333631e-01 5.024412483073492197e+00 -5.421361293079245414e-01 -8.402906742901655734e-01
4.800445089935755583e+00 5.930078813938775895e+00 -9.937550021764820496e-01 -1.115840295437474233e-01
4.834525115565402764e+00 9.730971917721126019e+00 2.352469249659643880e-01 -9.719356379380570399e-01
9.533103056130266539e-01 5.272285376146080615e+00 -9.164009491965344756e-01 4.002615398857236606e-01
3.275910386897803228e+00 4.049199925300942304e+00 9.691646309451390495e-01 -2.464141191672516440e-01
2.842429331844221752e-01 9.964475301849804012e+00 6.464597012691951639e-01 -7.629481336466739094e-01
6.035310287980597543e+00 4.418246014117059417e+00 9.970850953773781056e-01 -7.629752667213360318e-02
7.637582320274004744e+00 9.631140804149573853e-01 -9.714802275412641741e-01 2.371205758604127689e-01
2.864173990454664254e-01 2.530820382434574523e+00 9.999268076569687302e-01 1.209873253458022130e-02
7.832914969925948157e+00 8.388524905868974813e+00 -9.842747341529526350e-01 1.766444103506657481e-01
1.891855887957275106e+00 8.245516316575679738e+00 -5.816112667556692095e-01 8.134668612690167944e-01
6.459298707557475261e+00 5.625130020048406898e+00 -8.272378394999946316e-02 -9.965725139541998789e-01
6.223552354076241855e+00 2.160418155671997908e+00 7.558198200045401771e-01 6.547796573568123168e-01
6.737178775294706767e+00 1.077016258980042357e-01 -9.361286565178136287e-01 -3.516577006780219339e-01
8.783489323715929942e+00 3.367828610759264318e+00 5.665761767777256486e-01 8.240093663957561709e-01
3.479312626459515556e+00 5.956417132287552541e-01 7.148368323207543451e-01 -6.992912863447033889e-01
8.170871456212308814e+00 3.790722879192258254e+00 -7.486184546591957423e-01 6.630010628526002980e-01
3.760786194399943216e+00 8.150344783289883210e+00 -8.572766715014431549e-01 5.148560075393960878e-01
1.362072578717445248e+00 4.003424989411040080e+00 9.200930781741717412e-01 -3.916997925656556245e-01
5.036209189525821195e+00 2.853025583600441450e+00 9.358427977315596502e-01 -3.524177321503090266e-01
9.709929960193035114e+00 8.398043400166944394e+00 -8.866628708760835309e-01 4.624164285682136333e-01
1.496658273377712955e+00 1.438631658960421777e+00 -6.854641772734447747e-01 -7.281063532718550224e-01
9.075736633258198793e+00 6.456369307409190128e+00 -7.670406511300781327e-01 6.415985033601199206e-01
1.637295601538945711e+00 9.573672432572211122e+00 9.996972779534449849e-01 2.460391132467894607e-02
3.461453380496987808e+00 7.446216479543627642e+00 3.837962565312774688e-02 -9.992632307529010216e-01
2.187717659959456107e+00 1.533870911590368147e+00 -5.005324951678084000e-01 8.657177492006780106e-01
7.521857137899369050e+00 2.205474179560029668e+00 -3.789483629042114110e-01 9.254178182054947355e-01
1.239592288536245368e+00 7.940811792876512065e+00 4.601915880926525926e-01 -8.878196338495574214e-01
2.861406356953306585e+00 4.948800020450678794e+00 -9.998353657864085253e-01 -1.814500820498052280e-02
3.586412210634523756e+00 5.034290627081411396e-01 4.944721642097118508e-01 8.691934645530670078e-01
1.036883761461306008e+00 2.788379956053013586e+00 -2.054972980999149879e-01 9.786576829891210361e-01
6.668534079957783689e+00 1.867534581730911025e+00 -9.594072814935874494e-01 2.820242333862184592e-01
7.571458908945860600e+00 9.853361052230688699e+00 4.985371505408864312e-01 -8.668683345990748634e-01
4.759075247794172903e+00 9.937730471164984536e+00 -9.937960063107601494e-01 1.112182441903468988e-01
1.075582450913401322e+00 8.324172405184196322e+00 9.628275731802227178e-01 2.701167605386287085e-01
2.890861202056324686e+00 3.847216008531459064e+00 -9.134118743111284411e-02 9.958196561017834680e-01
6.273893591547219373e-01 9.866414831711320943e+00 3.048117036141211045e-02 9.995353411727865289e-01
3.949843657994400736e+00 4.247341813877255845e+00 -2.789985263819242944e-01 -9.602915298370150454e-01
3.147922708990021246e+00 6.958336381543889892e+00 1.805777689120602048e-01 9.835607095521570198e-01
8.915812889299076005e+00 1.782323607842749791e+00 9.871929461000145123e-01 1.595308345442149889e-01
3.268584172574935831e+00 8.659416992947662095e+00 -3.219329166012716570e-01 9.467624819396883717e-01
8.332945142353226586e+00 9.652747927650601412e+00 5.494352207811508126e-01 8.355363176817437454e-01
2.345354327919201065e+00 5.472809288515235737e-01 -2.346822587254156767e-01 9.720721359238403414e-01
6.246503096777211717e+00 1.706054932983614769e+00 9.936810358026303414e-01 -1.122408084709451415e-01
6.064015944887329645e+00 6.435182904556508987e+00 3.537951529363480008e-01 9.353229334078930757e-01
4.238314599193780730e+00 8.267785033265685257e+00 -2.528449643843385108e-01 -9.675068082372767497e-01
1.896008298506611789e+00 3.722379702337724972e+00 9.923187413620571107e-01 -1.237073786870572512e-01
9.987925661609160954e+00 3.568639027315168466e+00 7.527411517479435377e-01 -6.583166095923600469e-01
8.619071677265075948e+00 1.058990082818255907e+00 -9.976341583524962475e-01 -6.874653510036946025e-02
2.575519707113524959e+00 7.967692320143806128e+00 -2.368420715888279460e-01 -9.715481630498369325e-01
2.734163043586228525e+00 1.926894033010655871e+00 -4.989030610661514542e-01 -8.666577961680286268e-01
7.414748645875273603e+00 1.694465886442620972e+00 5.740684785116335620e-01 -8.188072923340010689e-01
9.683463621843310776e+00 4.025291653449697193e+00 -1.043167554339268638e-01 -9.945441239762760066e-01
5.637789996705951268e+00 2.394044195631590988e+00 -8.660585664538195116e-01 4.999425561721617117e-01
5.807652817753848673e+00 5.925593911384478218e+00 5.796505194200054500e-01 8.148651884429214398e-01
3.879207880358134020e+00 5.007588709391452841e-01 9.619468619638703588e-01 -2.732365911766987399e-01
5.739358104547073403e+00 4.313297318489471843e-01 9.440407421893746154e-01 3.298288602996027885e-01
1.823367065876276838e+00 7.077306558906570899e+00 9.615603425100516244e-01 -2.745937138973728042e-01
5.381756899507649905e+00 3.776278707247594735e+00 -9.597228372044158684e-01 -2.809485286459179054e-01
2.522649832695320615e-01 2.159271065596006789e+00 -1.408133799131994213e-01 -9.900361569343925083e-01
5.390451379731141301e+00 2.000542320593315715e+00 -8.813654651090440106e-01 -4.724350928044173670e-01
2.450707019736331649e+00 9.830765072647103864e+00 4.399435157683490027e-01 -8.980254467070432067e-01
4.122347590420876173e+00 7.636246898136349159e+00 -6.940436000868921429e-02 -9.975886100050382899e-01
1.179568482257888240e+00 3.193985736510676521e+00 2.237953202056954527e-01 9.746361652709333301e-01
2.710333195317666366e+00 4.522379256021915594e+00 8.072869309256094916e-02 9.967361125752226547e-01
7.518600012548269262e+00 2.447557345251223371e+00 -9.011007016981843476e-01 4.336098769620451709e-01
1.570875749624647544e-01 4.188857653379926660e+00 6.894876881970160021e-01 -7.242974028841570044e-01
2.567081008189483260e+00 4.036396869363170659e+00 -8.476666078544280447e-01 5.305292847040280479e-01
3.566209569169575655e+00 7.262683065699876650e+00 -5.978692223519557203e-01 -8.015936582610093675e-01
8.264198008272753526e+00 2.678834442914967529e+00 4.608172877098441478e-01 8.874950294777671500e-01
3.220117293000721137e+00 6.189487111859350854e+00 -9.587388431410465151e-01 2.842882879271806384e-01
9.547295492850317089e+00 6.070643184995987873e+00 -1.889277546686151665e-01 -9.819909895288629897e-01
2.545429053493921678e+00 5.631037944108616244e+00 4.477394809509890883e-01 8.941640549685158090e-01
7.283842095348949108e+00 6.584116680773009378e+00 9.116953158636157406e-01 4.108669505233316643e-01
8.337168680040742075e+00 3.116311077575599775e+00 6.791471296822989556e-01 -7.340021636509627134e-01
7.077143341686802813e+00 3.432449923932018088e+00 9.899185277260184046e-01 1.416379485334073596e-01
